Artist and Title,Streams,Daily
BM - M.A (Mejores Amigos),176379317,69384.0
Aruma - Muak,176140648,137057.0
Morat - París,175954288,98992.0
Zach Bryan - From Austin,174878716,398996.0
keshi - UNDERSTAND,174661176,313605.0
Nessa Barrett - die first,174323005,114631.0
INTERWORLD - METAMORPHOSIS,174025476,96216.0
Luude - Big City Life,173758809,198750.0
j-hope - Arson,173198779,94046.0
Purple Disco Machine - In The Dark,173064079,112257.0
MC Xenon - Sem Aliança no Dedo,172953819,130734.0
Tyga - Freaky Deaky,172566339,59587.0
Morat - Salir Con Vida,172240836,220025.0
Lumi Athena - SMOKE IT OFF!,171851545,291747.0
NewJeans - Hurt,171438380,234070.0
Bryan Martin - We Ride,171024535,582512.0
Maluma - Nos Comemos Vivos,170942260,77333.0
Corey Kent - Wild as Her,170850047,204801.0
Orochi - Sereia,170307266,104938.0
Teto - Fim de Semana no Rio,170155599,99351.0
Luan Santana - ERRO PLANEJADO,170084825,44515.0
Kep1er - WA DA DA,170002828,65559.0
Chefin - 212,169215352,58514.0
Disco Lines - Baby Girl,169171528,146193.0
Billie Eilish - The 30th,169102249,164061.0
Pharrell Williams - Cash In Cash Out,168797012,92684.0
Grupo Marca Registrada - Solo Me Dejaste,168608996,153506.0
Tiago PZK - Traductor,168587087,73955.0
Dylan Conrique - birthday cake,168340192,105471.0
Jhayco - En La De Ella,168124649,79512.0
Mert Demir - Antidepresan,167618698,108094.0
Denise Julia - NVMD,167516517,198251.0
Lil Baby - In A Minute,167175316,92035.0
Gunna - Banking On Me,167134501,97878.0
Sofía Reyes - Marte,167081567,59707.0
DJ Jeeh FDC - Puta Mexicana,167075531,114482.0
Diego & Victor Hugo - Beijo de Glicose,166718379,35611.0
KUTE - AVOID ME,165961321,111876.0
Topic - Kernkraft 400 (A Better Day),165757556,146670.0
Beyoncé - ENERGY,165613576,145198.0
Fabio Asher - Bertahan Terluka,165579013,111033.0
Henrique & Juliano - De Trás Pra Frente,165447179,261064.0
Zé Felipe - Malvada,165247650,27814.0
New West - Those Eyes,164840430,220045.0
La Maquinaria Norteña - Eres Ese Algo,164778494,121205.0
Maria Becerra - OJALÁ,164747654,101142.0
Batas Senja - Nanti Kita Seperti Ini,164728025,320800.0
Maria Becerra - ADIÓS,164676431,191243.0
Stephen Dawes - Teenage Dream,164392769,131180.0
Mc Tato - Luz do Luar,164224146,136177.0
Gazo - DIE,164118372,87240.0
NMIXX - O.O,163798512,94348.0
João Gomes - Dengo,163772599,96809.0
Kendrick Lamar - Father Time,163238345,129930.0
salem ilese - PS5,162971671,113704.0
Jessi - ZOOM,162687582,74325.0
Drake - Privileged Rappers,162392037,143138.0
George Ezra - Anyone For You (Tiger Lily),162181630,117723.0
SCXR SOUL - DEMONS IN MY SOUL,161898660,210070.0
Mau P - Drugs From Amsterdam,161522386,192151.0
LE SSERAFIM - Sour Grapes,160354925,183208.0
Harry Styles - Boyfriends,159924390,61446.0
Alan Walker - Fade,159439656,15369.0
Miksu / Macloud - Sehnsucht,158782049,82667.0
Fuerza Regida - Mi Terre CLN,158632011,194371.0
mgk - maybe,158289960,146864.0
Grupo Marca Registrada - Puro Campeón,158214588,95374.0
"Vishal-Shekhar - Khuda Jaane (From ""Bachna Ae Haseeno"")",158206425,247690.0
TOMORROW X TOGETHER - Good Boy Gone Bad,157909524,94000.0
JVKE - this is what heartbreak feels like,157690870,148411.0
Metro Boomin - I Can't Save You (Interlude) [with Future & feat. Don Toliver],157574758,341005.0
Jax - Victoria's Secret,157130942,86697.0
Pheelz - Finesse,157091514,117634.0
Jonas Blue - Don’t Wake Me Up,156761583,82779.0
Noah Kahan - All My Love,156756115,478046.0
Morat - Debí Suponerlo,156734841,253116.0
Yahritza Y Su Esencia - Soy El Unico,156467340,46093.0
Los Gemelos De Sinaloa - No Le Aflojo,156182598,115906.0
P!nk - Never Gonna Not Dance Again,156089201,146119.0
Nina Chuba - Wildberry Lillet,155348543,104911.0
Avvy Sra - White Brown Black,155132528,254223.0
Riar Saab - Obsessed,155035960,132061.0
Danna Paola - XT4S1S,154497319,102602.0
Dilaw - Uhaw (Tayong Lahat),154353748,132976.0
Soolking - Suavemente,154312114,94625.0
"Bizarrap - Duki: Bzrp Music Sessions, Vol. 50",154186670,90225.0
NMIXX - DICE,154125360,127208.0
UZI - ARASAN DA,153896254,78324.0
Blessd - Tendencia Global,153811474,79785.0
Beyoncé - HEATED,153493836,127686.0
